"question","reponse","gouvernement"
"Peut-on prendre directement des congés après un arrêt maladie ?","Oui,
vous pouvez prendre vos congés directement à la suite d'une période de maladie.
Vous n'avez pas à reprendre votre activité professionnelle une journée à la fin de votre arrêt de travail pour partir en congés.
Cependant, vous devez respecter les
dates de départ en congé fixées par votre employeur
avant votre arrêt de travail.
si votre arrêt de travail prend fin le jour précédent la date prévue de votre départ en congés, vous pouvez alors prendre directement vos congés.
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Il
ne répond pas
aux questions portant sur l'indemnisation du chômage et les démarches auprès de
France Travail
(anciennement Pôle emploi), les
fonctionnaires
ou
contractuels
de la f
onction publique
, le montant ou le versement des
cotisations
sociales, salariales ou patronales.
Les informateurs qui vous répondent appartiennent au ministère chargé du travail.","1"
"La présence au guichet est-elle obligatoire ?","Oui, votre
présence
est
obligatoire
pour déposer le dossier. Vous devez également vous déplacer pour retirer votre carte.
Exceptionnellement, un agent peut se déplacer à domicile si un motif médical ou une infirmité empêche votre déplacement. Dans ce cas, il faut fournir un certificat médical de moins de 3 mois qui indique cette impossibilité.
Le mineur doit être
présent
et
accompagné
d'un responsable au dépôt du dossier.
Exceptionnellement, un agent peut se déplacer à domicile si un motif médical ou une infirmité empêche votre déplacement. Dans ce cas, il faut fournir un certificat médical de moins de 3 mois qui indique cette impossibilité.
Pour retirer la carte, la présence du mineur est facultative. Son responsable peut se présenter seul.
Le responsable
et
le mineur doivent se présenter au guichet pour récupérer la carte d'identité.
Votre présence est obligatoire pour déposer le dossier. Vous devez également vous déplacer pour retirer votre passeport.
Exceptionnellement, un agent peut se déplacer à domicile si le passeport est indispensable et urgent et qu'un motif médical grave empêche votre déplacement. Dans ce cas, il faut fournir un certificat médical qui indique cette gravité et l'absence d'amélioration possible.
Vous pouvez faire la demande de renouvellement du passeport
sans vous déplacer
à l'ambassade ou au consulat
si vous répondez à toutes les conditions suivantes
:
Si vous le souhaitez, vous pouvez faire la demande de renouvellement de votre passeport sans vous déplacer au consulat.
Plusieurs étapes
sont à respecter. Vous recevrez votre passeport à votre domicile.
Votre présence est obligatoire pour déposer le dossier. Vous devez également vous déplacer pour retirer votre passeport.
Votre présence est obligatoire pour déposer le dossier. Vous devez également vous déplacer pour retirer votre carte d'identité ou passeport.
Votre présence est obligatoire pour déposer le dossier. Vous devez également vous déplacer pour retirer votre passeport.
Il se trouve sur votre carte consulaire","1"
"Quel est le délai pour recevoir une carte grise ou une étiquette d'adresse ?","Vous pouvez suivre sur internet l'état d'avancement de sa fabrication :
Vous recevrez le certificat d'immatriculation définitif, envoyé par La Poste en
lettre suivie
, à votre domicile dans
un délai qui peut varier
.
Vous devez
faire attention à l'adresse que vous fournissez
dans la procédure en ligne. Elle doit être la plus complète possible (numéro de bâtiment, numéro d’appartement, numéro de boite à lettres, étage, couloir, escalier, « résidant chez », etc.).
Votre boite aux lettres doit présenter vos nom et prénom.
Vous pouvez suivre l'expédition de votre titre soit avec le numéro d'immatriculation, soit avec le numéro de suivi de la Poste. Ce numéro de suivi vous a été communiqué par courriel ou par SMS si vous avez renseigné votre numéro de téléphone mobile.
Si vous avez fait une modification d'adresse sur le site
ANTS
: titleContent
, vous recevrez une étiquette avec votre nouvelle adresse à coller sur votre certificat d'immatriculation. L'étiquette est envoyée à votre domicile, par courrier normal.
Accès au
formulaire en ligne
Agence nationale des titres sécurisés","1"
"Peut-on installer un jacuzzi dans son jardin ?","Que vous soyez
propriétaire
ou
locataire
, si vous souhaitez installer un jacuzzi dans votre jardin, vous
devez respecter certaines règles
applicables à l'installation et à la sécurité des piscines. En effet, un
jacuzzi
est assimilable à une
piscine
.
Il est possible d'installer un jacuzzi dans votre jardin à la condition de respecter les règles applicables à
l'installation
et à la
sécurité des piscines
.
Toutefois, le plan local d'urbanisme (PLU) de votre commune peut fixer des règles plus contraignantes ou des interdictions. Pour le savoir, vous devez vous renseigner auprès du service urbanisme de votre mairie.
Vous devez préalablement demander et obtenir l'autorisation du propriétaire du bien que vous louez.
Si vous installez un jacuzzi sans l'accord de votre propriétaire ou malgré son refus, le propriétaire peut exiger la remise en l'état des lieux, à vos frais, lors de votre départ définitif. Il pourra également, sauf à trouver un arrangement, conserver le jacuzzi sans vous indemniser.
L'installation d'un jacuzzi dans le jardin doit respecter les règles applicables à
l'installation
et à la
sécurité des piscines
.
Toutefois, le plan local d'urbanisme (PLU) de votre commune peut fixer des règles plus contraignantes ou des interdictions. Pour le savoir, vous devez vous renseigner auprès du service urbanisme de votre mairie.","1"
"Le patrimoine est-il pris en compte pour le droit au RSA ?","Cette évaluation est réalisée
au moment de l'étude de votre demande de RSA.
Pour évaluer votre train de vie, certains éléments de votre
patrimoine mobilier ou immobilier
détenu en France ou à l'étranger par les
membres de votre
foyer
: titleContent
sont pris en compte :
Un
barème forfaitaire
est fixé pour chacun des éléments du train de vie.
Si ce barème dépasse certains seuils, votre train de vie est pris en compte pour déterminer votre droit au RSA.
Le résultat de l'évaluation est transmis aux services du département qui vous attribuent le RSA.
Un simulateur vous permet de savoir si vous pouvez percevoir le RSA :
Lorsque l'évaluation constate un
écart important
entre les ressources que vous avez déclarées et le train de vie de votre foyer, une lettre
RAR
: titleContent
vous est adressée par les services du département qui vous attribuent le RSA.
La lettre vous informe des conditions suivantes :
Vous devez alors remplir un questionnaire et le renvoyer, dans les
30 jours
après sa réception, accompagné des pièces justificatives.
Si vous ne respectez pas cette obligation, le
versement
de votre
RSA
: titleContent
peut être
suspendu jusqu'à la production des pièces
demandées ou la réponse à la convocation.
Recommandé avec avis de réception
Revenu de solidarité active
Lieu d’habitation d’une famille. Le foyer peut être composé d’un parent vivant seul, de conjoints mariés, de partenaires liés par un PACS ou de concubins.","1"
"Le contrat de travail est-il obligatoirement écrit ?","Le
contrat à durée déterminée (CDD
) doit
obligatoirement
être conclu
par écrit
.
Les contrats de travail à durée déterminée suivants doivent également
être
obligatoirement
conclus
par écrit
:
Si le CDD n'a pas été conclu par écrit, le contrat de travail peut être alors
requalifié
, éventuellement, en un CDI à temps plein.
La
requalification
du CDD (c'est-à-dire sa transformation en CDI à temps plein) peut alors être décidée par le
conseil de prud'hommes (CPH)
à la demande du salarié et sous conditions.
L'employeur risque une amende de
3 750 €
(
7 500 €
en cas de récidive) s'il recourt au CDD ou au travail temporaire sans contrat écrit.
Le site du Code du travail numérique propose un modèle de contrat :
En règle général, un écrit n'est
pas exigé pour un CDI à temps plein
, mais une
convention collective
: titleContent
peut prévoir un écrit.
En l'absence d'écrit obligatoire, l'employeur doit toutefois remettre au salarié une copie de la
déclaration préalable à l'embauche (DPAE)
.
En pratique, et notamment pour prévenir tout conflit ou litige entre le salarié et l'employeur, la signature d'un contrat est toujours
préférable
.
Si l'employeur n'a pas fait d'écrit pour un contrat de travail en CDI à temps plein , alors qu'il aurait dû le faire, il risque une amende d'un montant de
1 500 €
(
3 000 €
en cas de récidive).
Le site du Code du travail numérique propose un modèle de contrat :
Le contrat de travail du salarié à temps partiel doit
obligatoirement
être conclu
par écrit
.
Si l'employeur n'a pas fait d'écrit pour un contrat de travail en CDI à temps partiel , alors qu'il aurait dû le faire, il risque une amende d'un montant de
1 500 €
(
3 000 €
en cas de récidive).
Le site du Code du travail numérique propose un modèle de contrat :
Contrat à durée déterminée
Contrat de travail à durée indéterminée
Accord écrit négocié entre les représentants syndicaux de salariés et des groupements d'employeurs. Il complète et adapte la législation du travail dans un secteur d'activité donné, souvent de façon plus favorable pour les salariés.","1"
"Je suis intéressé.e par un nouveau produit disponible aux États-Unis, quand pourrai-je l’acheter dans l’UE ?","La plupart des nouveautés sont disponibles dans l’UE environ 4 semaines après leur lancement aux États-Unis. Si vous souhaitez être parmi les premiers informés de nos dernières nouveautés, mais aussi de nos offres spéciales et de nos promotions, inscrivez-vous à notre newsletter gratuite .","0"
"Un étudiant non européen peut-il travailler en France ?","Des règles particulières s'appliquent en fonction de la nationalité de l'étudiant étranger.
Un étudiant étranger non européen peut être autorisé à travailler. En fonction de différentes situations, les règles à respecter ne sont pas les mêmes.
Oui
, un étudiant étranger non européen peut travailler pendant ses études.
L'étudiant doit avoir un
visa de long séjour valant titre de séjour (VLS-TS) étudiant ou une carte de séjour étudiant
.
L'étudiant peut travailler 964 heures par an maximum (
60 %
de la durée annuelle légale du travail).
S'il ne respecte pas cette limite, il risque le retrait et le refus de renouvellement de son titre de séjour.
Cette durée commence à la délivrance de la carte ou la validation du VLS-TS. Par exemple, si le titre de séjour a été délivré le 20 septembre 2023, il peut travailler 964 heures au maximum jusqu'au 19 septembre 2024.
L'étudiant peut exercer toute activité salariée sans autre autorisation de travail.
L'employeur
n'a pas à demander
d'autorisation de travail.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, sous certaines conditions, l'étudiant étranger non européen peut suivre un
contrat d'apprentissage
.
Pour signer un contrat d'apprentissage, l'étudiant doit être en France depuis plus d'1 an.
En cas d'inscription pour un diplôme de master ou un
diplôme de niveau I
reconnu par la
Conférence des grandes écoles
, la condition d'1 an pour signer un contrat d'apprentissage n'est pas demandée.
L'étudiant doit avoir un
visa de long séjour valant titre de séjour (VLS-TS) étudiant ou une carte de séjour étudiant
.
Il peut travailler au-delà de 964 heures/an dans le cadre de ses études.
Quand le contrat est validé par
l'opérateur de compétences (OPCO)
: titleContent
(ou par la
Dreets
: titleContent
en cas d'apprentissage dans la fonction publique), l'employeur
n'a pas à demander d'autorisation de travail
.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, sous certaines conditions, l'étudiant étranger non européen peut suivre un
contrat de professionnalisation
.
Pour signer un contrat de professionnalisation, l'étudiant doit être en France depuis plus d'1 an.
L'étudiant doit avoir un
visa de long séjour valant titre de séjour (VLS-TS) étudiant ou une carte de séjour étudiant
.
Il peut travailler au-delà de 964 heures/an dans le cadre de ses études.
Pour travailler plus de 964 heures, l'employeur
doit demander et obtenir
une
autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, un étudiant étranger non européen peut travailler pendant ses études lorsque celles-ci comprennent une séquence de travail salarié pendant ses études.
L'étudiant avoir un
visa de long séjour valant titre de séjour (VLS-TS) étudiant ou une carte de séjour étudiant
.
L'étudiant peut travailler dans la limite de 964 heures par an dans le cadre de ses études.
Pour travailler plus de 964 heures, l'employeur doit demander et obtenir une
autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, un étudiant étranger non européen venu pour 6 mois peut travailler pendant ses études.
L'étudiant doit avoir un visa de long séjour de 6 mois.
La durée de travail autorisée est proportionnelle à la durée de ses études (par exemple, 482 heures maximum pour un enseignement de 6 mois).
L'employeur doit demander et obtenir
une autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Un étudiant algérien peut être autorisé à travailler. En fonction de différentes situations, les règles à respecter ne sont pas les mêmes.
Oui
, un étudiant algérien peut travailler pendant ses études.
L'étudiant doit avoir un
certificat de résidence étudiant
.
L'étudiant peut travailler au maximum
50 %
de la durée annuelle de travail pratiquée dans la branche ou la profession concernée.
L'employeur
doit demander et obtenir
une
autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, l'étudiant algérien peut suivre un
contrat d'apprentissage
.
Pour signer un contrat d'apprentissage, l'étudiant doit être en France depuis plus d'1 an.
En cas d'inscription pour un diplôme de master ou un
diplôme de niveau I
reconnu par la
Conférence des grandes école
, la condition d'1 an pour signer un contrat d'apprentissage n'est pas demandée.
L'étudiant algérien doit avoir un
certificat de résidence étudiant
.
Dans le cadre de ses études, l'étudiant peut travailler au-delà de
50 %
de la durée annuelle de travail pratiquée dans la branche ou la profession concernée.
L'employeur
doit demander et obtenir
une
autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, l'étudiant algérien peut suivre un
contrat de professionnalisation
.
Pour signer un contrat de professionnalisation, l'étudiant doit être en France depuis plus d'1 an.
L'étudiant algérien doit avoir un
certificat de résidence étudiant
.
Dans le cadre de ses études, l'étudiant peut travailler au-delà de
50 %
de la durée annuelle de travail pratiquée dans la branche ou la profession concernée.
L'employeur
doit demander et obtenir
une
autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, un étudiant algérien peut travailler pendant ses études lorsque celles-ci comprennent une séquence de travail salarié pendant ses études.
L'étudiant doit avoir un
certificat de résidence étudiant
.
Dans le cadre de ses études, l'étudiant peut travailler au-delà de
50 %
de la durée annuelle de travail pratiquée dans la branche ou la profession concernée.
L'employeur
doit demander et obtenir
une
autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Oui
, l'étudiant algérien venu pour 6 mois peut travailler pendant ses études.
L'étudiant doit avoir un visa de long séjour de 6 mois.
La durée de travail autorisée est proportionnelle à la durée de ses études.
L'employeur
doit demander et obtenir
une
autorisation de travail
avant de pouvoir débuter l'activité.
L'embauche ne peut avoir lieu qu'après déclaration nominative de l'employeur auprès de la préfecture du département dans lequel l'établissement employeur a son siège.
L'employeur doit accomplir cette formalité au moins 2
jours ouvrables
: titleContent
avant la date d'effet de l'embauche.
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Il
ne répond pas
aux questions portant sur l'indemnisation du chômage et les démarches auprès de
France Travail
(anciennement Pôle emploi), les
fonctionnaires
ou
contractuels
de la f
onction publique
, le montant ou le versement des
cotisations
sociales, salariales ou patronales.
Les informateurs qui vous répondent appartiennent au ministère chargé du travail.
Direction régionale de l'économie, de l'emploi, du travail et des solidarités (ex-Direccte)
Correspond à tous les jours de la semaine, à l'exception du jour de repos hebdomadaire (généralement le dimanche) et des jours fériés habituellement non travaillés dans l'entreprise
Finance l'apprentissage, apporte son aide pour élaborer les certifications professionnelles et pour définir les besoins en formation des entreprises","1"
"Quand vais-je obtenir ma carte de séjour ?","Vous recevrez un SMS avec une date et un horaire de rendez-vous pour venir récupérer votre titre de séjour.
Les délais de traitement sont variables selon les situations et il est inutile de vous présenter en préfecture ou de nous contacter avant l’expiration de votre récépissé.
Pensez à nous signaler tout changement d’adresse ou de numéro de téléphone afin d’être certain de recevoir l’information.","1"
"Existe-t-il différents types d'abonnements ?","Oui, le Google Developer Program propose des abonnements standard, premium et entreprise. Pour en savoir plus, consultez la section Forfaits et tarifs .","0"
"Primaire et secondaire : comment s'effectue le passage du privé au public ?","Les démarches à faire pour passer d'un établissement scolaire privé à un établissement public dépendent du type d'établissement privé où est inscrit votre enfant (sous contrat ou hors contrat).
Les démarches d'inscription sont différentes en primaire, au collège et au lycée.
Vous devez d'abord vous adresser à
votre mairie
. Elle vous donnera une liste de documents à lui présenter.
Vous devez ensuite inscrire votre enfant au
secrétariat de l'école
dont vous dépendez.
Vous devrez notamment fournir la décision du conseil des maîtres de l'école où il était inscrit. Elle précise son passage en classe supérieure ou son redoublement.
Vous devez inscrire votre enfant au
secrétariat du collège de votre secteur
, d'après la
carte scolaire
de votre département de résidence.
Vous devrez notamment fournir la décision du conseil des maîtres ou du conseil de classe de l'établissement où il était inscrit. Elle précise son passage en classe supérieure ou son redoublement.
Pour en savoir plus sur la procédure d'inscription, contactez le
Dasen
: titleContent
.
Vous devez inscrire votre enfant au
secrétariat du lycée de votre secteur
, d'après la
carte scolaire
de votre département de résidence.
Vous devrez notamment fournir la décision du conseil de classe du collège ou du lycée où il était inscrit. Elle précise son passage en classe supérieure ou son redoublement.
Pour en savoir plus sur la procédure d'inscription, contactez le
Dasen
: titleContent
.
Vous devez vous adresser à la
direction des services départementaux de l'éducation nationale
de votre lieu de résidence.
Si votre enfant rentre au collège ou au lycée, il doit réussir un
examen d'admission
sur table pour pouvoir s'inscrire dans l'établissement public choisi.
L'examen d'admission concerne les principales disciplines enseignées à la fois dans la classe fréquentée et dans celle où votre enfant souhaite poursuivre ses études. Le programme est défini par le
Dasen
: titleContent
. Le chef de l'établissement où votre enfant souhaite s'inscrire organise l'examen d'admission et en préside le jury.
En cas de réussite, la décision d'affection est prise par l'inspecteur d'académie.
Directeur académique des services de l'éducation nationale","1"
"Comment changer de type de restriction de clé, en passant d'une restriction de référent HTTP à une restriction d'adresse IP ?","Important : Si vous utilisez l'une des API de services Web avec une clé API comportant des restrictions de référent, vos requêtes échoueront et afficheront le message d'erreur ""Les clés API ne peuvent pas comporter de restrictions de référents lorsqu'elles sont utilisées avec cette API"". Vous devrez alors utiliser une clé API avec restriction d'adresse IP.
Avant de modifier le type de restriction de la clé API de ""référent HTTP"" à ""adresse IP"", assurez-vous que toutes les API qui utilisent la clé API sont compatibles avec le type de restriction d'adresse IP. Les API qui appliquent le même type de restriction peuvent utiliser la même clé restreinte. Si vous devez appliquer plusieurs restrictions, ajoutez une clé distincte comportant la restriction requise. Découvrez comment ajouter une clé API .
En savoir plus sur les restrictions de clés API associées aux produits Google Maps Platform
Pour passer d'une clé API comportant une restriction de référent HTTP à une restriction d'adresse IP :
Accédez à la page Identifiants de la console Cloud. Sélectionnez le projet qui contient la clé API à modifier. Sur la page Identifiants , dans la liste des clés API, sélectionnez le nom de la clé API afin de pouvoir en modifier les détails. Dans la section Restriction de clé de la page, sélectionnez ""Adresses IP (serveurs Web, tâches Cron, etc.)"", insérez les adresses IP des serveurs appropriés, puis cliquez sur ""Enregistrer"".
Accédez à la page Identifiants de la console Cloud.
Sélectionnez le projet qui contient la clé API à modifier.
Sur la page Identifiants , dans la liste des clés API, sélectionnez le nom de la clé API afin de pouvoir en modifier les détails.
Dans la section Restriction de clé de la page, sélectionnez ""Adresses IP (serveurs Web, tâches Cron, etc.)"", insérez les adresses IP des serveurs appropriés, puis cliquez sur ""Enregistrer"".","0"
"Qu'est-ce que Google Maps Platform ?","Google Maps Platform est un ensemble d'API et de SDK qui permet aux développeurs d'intégrer Google Maps à des applications mobiles et à des pages Web, ou de récupérer des données depuis Google Maps. Plusieurs options sont disponibles.
  Selon vos besoins, vous pouvez être amené à utiliser une ou plusieurs de ces API et SDK :
Maps :
API Maps JavaScript SDK Maps pour Android SDK Maps pour iOS API Map Tiles API Aerial View API Maps Static API Street View Static URL Maps API Maps Embed API Maps Datasets
API Maps JavaScript
SDK Maps pour Android
SDK Maps pour iOS
API Map Tiles
API Aerial View
API Maps Static
API Street View Static
URL Maps
API Maps Embed
API Maps Datasets
Routes :
API Routes API Roads API Route Optimization SDK Navigation pour Android SDK Navigation pour iOS
API Routes
API Roads
API Route Optimization
SDK Navigation pour Android
SDK Navigation pour iOS
Places :
API Places SDK Places pour Android SDK Places pour iOS Bibliothèque Places, API Maps JavaScript API Address Validation API Geocoding API Geolocation API Time Zone
API Places
SDK Places pour Android
SDK Places pour iOS
Bibliothèque Places, API Maps JavaScript
API Address Validation
API Geocoding
API Geolocation
API Time Zone
Environment :
API Air Quality API Pollen API Solar
API Air Quality
API Pollen
API Solar","0"
